stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
87942,1659,Cantelon at Lauzon Parkway,,42.303797,-82.933157,1,,0,,1
87951,2007,Lauzon Rd. at Lilac,,42.30868192,-82.92846342,1,,0,,1
87953,2076,Eugenie at Lillian,,42.289582,-83.009193,1,,0,,1
87954,2079,Eugenie at South Pacific,,42.289912,-83.00864,1,,0,,1
87958,1445,Erie at Lincoln,,42.316373,-83.013004,1,,0,,1
87959,1446,Richmond at Lincoln,,42.31517882,-83.01150201,1,,0,,1
87960,1447,Richmond at Lincoln,,42.315131,-83.011318,1,,0,,1
87966,2027,Cora Greenwood at Little River,,42.3264451,-82.89839215,1,,0,,1
87967,2040,Clover at Little River,,42.32479872,-82.91314733,1,,0,,1
87977,1541,Giles at Louis,,42.30922502,-83.02189961,1,,0,,1
87987,1108,Tecumseh at Marentette,,42.298687,-83.013977,,,0,,1
87992,1542,Giles at Marentette,,42.3095267,-83.02032414,1,,0,,1
87996,1441,Erie at Marion,,42.31439,-83.018262,1,,0,,1
88000,1058,Prince at Vaughan,,42.28767379,-83.06729039,1,,0,,1
88011,1535,Giles at McDougall,,42.307165,-83.026455,1,,0,,1
88012,1536,Giles at McDougall,,42.307226,-83.026962,1,,0,,1
88016,2043,Lauzon Rd. at McHugh,,42.32217003,-82.93664268,1,,0,,1
88034,2133,Cass at Michigan,,42.331505,-83.05237,3,,0,,1
88035,2047,McHugh at Mickey Renuad Way,,42.32076436,-82.92695316,1,,0,,1
88041,1470,Drouillard at Milloy,,42.305767,-82.990128,1,,0,,1
88042,1475,George at Milloy,,42.309936,-82.978444,1,,0,,1
88043,1476,George at Milloy,,42.310336,-82.978542,1,,0,,1
88044,1488,Pillette at Milloy,,42.312831,-82.971435,1,,0,,1
88045,1489,Pillette at Milloy,,42.312449,-82.971382,1,,0,,1
88048,1450,Richmond at Monmouth,,42.317083,-83.006306,1,,0,,1
88049,1451,Richmond at Argyle,,42.316988,-83.006093,1,,0,,1
88058,1443,Erie at Moy,,42.31568212,-83.01502849,1,,0,,1
88063,1057,Prince at Mulford,,42.288269,-83.069712,1,,0,,1
88064,2102,N. Service Rd.at Langlois,,42.28097,-82.997382,1,,0,,1
88065,2103,N. Service Rd.at Jennifer,,42.281752,-82.994073,1,,0,,1
88102,2065,Parent at Ottawa,,42.307939,-83.017044,1,,0,,1
88115,1531,Giles at Ouellette,,42.305439,-83.030583,1,,0,,1
88116,1532,Giles at Ouellette,,42.3055,-83.031024,1,,0,,1
88119,2080,South Pacific at Parent,,42.290035,-83.005806,1,,0,,1
88120,2081,South Pacific at Parent,,42.290142,-83.00619,1,,0,,1
88122,1544,Giles at Parent,,42.31011773,-83.0186246,1,,0,,1
88133,2108,E.C. Row Ave at Parkwood,,42.280572,-82.995387,1,,0,,1
88135,1712,Labelle at Skyline,,42.268447,-83.035022,,,0,,1
88138,2037,Little River at Pearson,,42.3251386,-82.91040163,1,,0,,1
88152,1483,Seminole at Pillette,,42.31839173,-82.97564816,1,,0,,1
88153,1496,Grand Marais at Pillette,,42.30235317,-82.96547883,1,,0,,1
88154,1517,Rhodes at Pillette,,42.286505,-82.955361,1,,0,,1
88155,1522,North Service Road at Pillette,,42.28819085,-82.95460484,1,,0,,1
88163,2011,Wyandotte at Riverside Plaza,,42.33356193,-82.93879777,1,,0,,1
88166,1501,Pillette at Plymouth,,42.29763259,-82.96199591,1,,0,,1
88171,1208,College at Prince,,42.290018,-83.075127,1,,0,,1
88174,2028,McHugh at Questa,,42.31728597,-82.9035976,1,,0,,1
88181,2127,Congress at Randolph,,42.331025,-83.044051,3,,0,,1
88188,1465,Drouillard at Reginald,,42.31019919,-82.99278565,1,,0,,1
88189,1466,Drouillard at Reginald,,42.30979717,-82.99270378,1,,0,,1
88190,1479,George at Reginald,,42.313936,-82.981015,1,,0,,1
88191,1480,George at Reginald,,42.314333,-82.981113,1,,0,,1
88192,1484,Pillette at Reginald,,42.31693506,-82.97406194,1,,0,,1
88193,1485,Pillette at Reginald,,42.31642483,-82.97392983,1,,0,,1
